,Ticker,Chg_from_Hi,Chg_from_Lo,Chg_from_50davg,Short_Ratio,Is_Dead_Cat
0,USCR,-7.64955389791,72.9389208436,1.45399931793,4.08365910568,1
1,SRPT,-45.872218234,110.61452514,23.3506944444,3.63904180805,1
2,SPWR,-49.7562560936,14.6034099333,-8.77408477842,7.63729659525,1
3,CMA,-23.0088495575,29.0135396518,-8.89332837762,3.3409254641,1
4,AKS,-8.97196261682,166.120218579,13.1913480694,2.56564562694,1
5,QCOM,-20.3120867495,17.9949089485,6.48006072747,2.06945939746,1
6,NFLX,-24.5321927748,19.3501630632,4.54412130762,3.09948587885,1
7,XPO,-39.7058823529,46.7280163599,-2.14592871954,13.1095425128,1
8,AMD,0.0,234.355828221,41.577203446,3.69086701685,1
9,SCTY,-64.1103316327,35.0329934013,-15.0879921169,4.15528182709,1
10,WLL,-67.4172921879,232.011331445,3.71494103412,2.26632999357,1
11,STMP,-27.7382413088,33.7066747389,-13.8316190537,4.2672505273,1
12,AMBA,-69.8342541436,10.3348729792,-8.37671232877,10.9723026207,1
13,PCRX,-32.8993055556,47.7607864555,-2.782625913,9.87606310618,1
14,BAC,-35.0677506775,7.3476702509,-23.2001046641,0.592950930194,1
15,CNX,-83.6342457775,12.625250501,-26.8229166667,4.83287265554,1
16,OAS,-74.5210727969,32.3981900452,-12.6301035954,5.21897083763,1
17,XON,-52.8598457284,111.699346405,28.9117580168,21.293666623,1
18,DV,-46.4548396587,14.898989899,1.73165111451,7.6582621143,1
19,MNRO,-11.8568232662,14.3588868021,-3.68811808551,22.0353486313,1
20,JACK,-29.2361540045,10.1602564103,2.82785296264,5.16515672066,1
21,SYNA,-35.7613081334,12.3491179201,-15.1399782447,5.72660125851,1
22,QLGC,-28.3826305853,29.3181818182,-19.2668254439,2.93118022303,1
23,CWEI,-39.8990248288,30.6766917293,-3.96144113096,3.46647113357,1
24,RJF,-22.8748572361,5.7731036026,-16.4247338017,3.33132171415,1
25,ODP,-62.3794212219,5.40540540541,-43.2890940565,0.884818319355,1
26,CEMP,-56.2307013674,34.5423728814,15.6166028583,11.6250576172,1
27,IMMU,-5.84905660377,217.834394904,49.2552801856,12.4795801454,1
28,ALNY,-46.5724789159,41.5314111132,16.7007804944,6.6330151861,1
29,CLDX,-81.3571961223,57.7287066246,22.7178241378,7.93303277169,1
30,PTCT,-86.4995957963,52.3722627737,15.7212959428,6.44878690961,1
31,ENDP,-82.2321122903,15.7620817844,-43.641548042,0.8212836902,1
32,LVLT,-7.73286467487,37.976346912,-2.94467186056,2.33746193737,1
33,GNW,-63.2911392405,8.29875518672,-31.3821225453,2.50583846971,1
34,NAV,-56.69093648,6.87732342007,-22.9478981025,8.1189103364,1
35,VRX,-89.38747524,7.56756756757,-26.2807739455,0.48905326701,1
36,CHK,-70.5882352941,13.7980085349,-30.6846132219,9.18403520829,1
37,INO,-36.9465648855,293.333333333,-7.27605956472,9.30338686348,1
38,MNK,-53.280073744,13.8738064033,-2.788623694,5.55096742201,1
39,GERN,-11.5207373272,107.567567568,-2.43194192377,11.0271199024,1
40,SM,-76.8174885613,36.9369369369,-46.3370505872,6.23898150626,1
41,GLNG,-29.8620689655,79.3018335684,14.2573490131,5.21454677692,1
42,CLF,-72.3872387239,16.7441860465,-8.48277401592,8.08490750026,1
43,SAIA,-14.5055722625,60.5647840532,-9.37558597412,2.54287892382,1
44,SN,-18.6836518047,234.497816594,-6.18845288678,3.55787196012,1
45,HOS,-54.2412617221,9.93343573989,-12.9740997791,6.09856739855,1
46,OPK,-1.79640718563,84.2696629213,11.9947969897,12.5363191927,1
47,CCOI,-11.0804712961,19.186827957,0.7845752392,7.10388265834,1
48,CUDA,0.0,91.6078105526,15.9394415116,2.21914650909,1
49,CENX,-56.4790996785,5.00387897595,-7.74650336275,5.10322633487,1
50,MRO,-64.6361013145,63.8930163447,19.2800865132,1.79299227196,1
51,MKTO,-36.5557553957,26.2639821029,8.00690479352,8.03132573122,1
52,HZNP,-7.43307086614,255.595886267,14.9522358059,1.88595821194,1
53,IRBT,-29.8199385156,9.6397941681,-6.895003909,12.7384507708,1
54,REXX,-85.3023255814,26.4,-46.0073924263,3.60192915605,1
55,GLUU,-6.42570281124,108.035714286,36.7605661922,4.17381346535,1
56,RATE,-40.1056676273,29.0890269151,-0.132387552301,13.8321711776,1
57,COP,-29.7020029311,35.4140526976,-3.69060139593,2.53878782857,1
58,DWRE,-59.2906299629,9.66131907308,-35.799292925,11.4669685917,1
59,TSLA,-19.1581596979,24.9945945946,-11.1498028332,6.06028489717,1
60,WPX,-27.8234854151,171.06741573,5.95603558384,3.285713821,1
61,AGIO,-52.5249113325,57.2147651007,12.8587289167,7.98289822671,1
62,SMBK,-18.67,7.32,-1.16,3.22,0
63,UGI,-0.85,43.64,1.42,2.82,0
64,USAP,-14.36,91.64,3.98,3.43,0
65,HBP,-20.14,86.96,-2.65,0.1,0
66,ETW,-12.0,18.46,3.02,0.0,0
67,CMT,-29.21,72.48,12.1,0.24,0
68,AIMT,-57.68,22.72,3.44,6.41,0
69,CBYL,-92.359,4.038,-22.632,0.41,0
70,WRN,-12.5,355.0,7.49,0.79,0
71,ECCA,-3.54,14.84,0.39,0.0,0
72,BLOX,-23.09,41.6,-0.41,6.82,0
73,VG,-20.08,55.24,3.95,2.67,0
74,ECC,-18.251,27.602,2.552,0.0,0
75,REI,-31.14,98.5,-7.86,7.57,0
76,IRIX,-2.58,152.49,6.16,4.55,0
77,LECO,-4.21,36.28,3.39,7.51,0
78,NBD,-1.7,19.76,1.57,0.0,0
79,OACQW,-5.1111,0.0,inf,0.0,0
80,ABTX,-10.69,75.66,2.7,3.75,0
81,CONE,-2.05,83.84,2.19,2.42,0
82,INNL,-65.53,13.13,-14.93,0.22,0
83,SLF,-6.99,30.3,0.44,6.06,0
84,NK,-79.11,25.78,5.52,12.73,0
85,CERE,-91.729,148.125,7.132,1.07,0
86,HSTM,-14.11,36.12,-6.69,5.47,0
87,EQBK,-9.39,41.19,1.34,4.42,0
88,FENG,-42.11,17.52,2.82,2.81,0
89,FNTCU,0.0,0.0,inf,0.0,0
90,CGO,-15.63,23.01,3.93,0.0,0
91,CTF,-13.35,0.84,-2.0,0.0,0
92,CRK,-79.769,49.7091,-2.737,5.0,0
93,ECL,-3.35,20.04,-0.53,4.04,0
94,PDM,-0.09,32.65,3.41,7.03,0
95,MEMP,-84.8,13.43,-14.99,5.71,0
96,PEG,-2.95,25.03,1.42,4.09,0
97,CMCO,-29.49,31.46,8.44,5.49,0
98,ARA,-1.12,0.38,inf,2.81,0
99,MGEE,-2.13,52.79,0.65,6.94,0
100,DRUA,0.0,1.55,inf,0.0,0
101,HONE,-1.47,0.37,inf,0.0,0
102,IVAC,-7.58,43.61,0.36,8.75,0
103,NGHCZ,0.0,13.61,2.0,0.0,0
104,BHP,-25.83,60.83,3.99,2.89,0
105,WWW,-18.2,66.15,14.11,3.09,0
106,TANNI,-0.2263,0.317,inf,0.0,0
107,MIN,-1.92,8.75,0.04,0.0,0
108,WMGI,-15.13,46.01,13.31,5.75,0
109,SCM,-4.59,53.99,4.6,0.0,0
110,BYD,-8.49,37.9,4.64,8.01,0
111,EFOI,-79.11,12.75,4.76,12.47,0
112,CLFD,-1.33,72.65,9.79,27.14,0
113,CCL,-16.23,15.3,1.52,2.78,0
114,UCBA,-4.7237,13.4486,2.0753,2.03,0
115,MELR,-2.3413,12.5738,0.8549,0.49,0
116,HOMB,-12.13,23.24,2.28,10.56,0
117,NCBS,-22.64,19.17,-2.6,4.59,0
118,MOBL,-40.7,22.66,6.77,12.98,0
119,DGII,-17.89,44.29,3.04,4.75,0
120,CAE,-0.15,42.72,5.6,9.13,0
121,QTS,-3.64,46.42,3.15,4.64,0
122,IDXX,-1.84,47.75,2.05,7.19,0
123,AXTA,-13.98,38.12,3.9,1.74,0
124,ARIS,-6.4,73.56,11.56,0.13,0
125,WR,-2.93,59.23,-0.8,1.53,0
126,KN,-39.81,38.84,-8.32,17.45,0
127,PSDV,-34.25,61.18,17.56,12.55,0
128,SBH,-10.93,33.68,0.19,4.91,0
129,VRNS,-1.72,93.89,2.84,5.29,0
130,PSO,-37.75,27.34,-5.93,1.44,0
131,BOXC,-9.28,36.19,-0.62,35.49,0
132,MSCA,-1.815,4.899,0.425,0.0,0
133,MKSI,-16.54,57.52,4.52,9.34,0
134,GPC,-3.52,33.65,2.13,5.87,0
135,LRN,-17.47,74.12,-1.0,6.86,0
136,NFJ,-12.33,23.59,2.51,0.0,0
137,EBIO,-50.37,1481.67,60.19,0.56,0
138,EXAM,-5.9,59.51,0.39,0.0,0
139,HUBB,-3.06,34.23,3.54,2.42,0
140,NQM,-2.31,13.27,-0.1,0.0,0
141,SCG,-1.92,49.37,2.0,4.82,0
142,NEWR,-14.18,68.95,9.82,7.05,0
143,DSKX,-83.8188,21.3587,-0.0149,30.19,0
144,NR,-16.73,88.66,11.22,6.33,0
145,ING,-35.13,21.06,4.15,0.74,0
146,CRCM,-8.42,124.74,6.28,3.2,0
147,COO,-0.56,52.98,5.54,4.06,0
148,LEN,-16.49,26.01,-0.91,5.42,0
149,PCM,-1.91,20.94,4.59,0.0,0
150,CSCO,-1.99,35.93,4.14,2.17,0
151,TECD,-6.68,42.0,1.77,7.27,0
152,PCLN,-8.51,41.59,2.95,1.99,0
153,DPG,-1.187,48.977,2.4737,0.0,0
154,NVCN,-91.857,44.595,3.51,0.26,0
155,FPP,-53.6707,171.3571,9.3013,0.03,0
156,BCPC,-9.93,20.26,4.34,13.0,0
157,XENE,-31.48,35.22,10.17,2.04,0
158,ALQA,-77.5,67.14,1.71,3.22,0
159,STWD,-4.13,30.62,4.13,3.05,0
160,WPXP,-10.2,202.3,4.85,0.0,0
161,PAYC,-1.17,110.57,6.88,11.73,0
162,SGI,-30.68,39.18,3.81,2.35,0
163,SXI,-4.62,35.51,3.86,3.51,0
164,LQDT,-17.04,82.81,4.4,4.9,0
165,PRAH,-9.68,40.55,7.52,3.93,0
166,CUO,-3.4561,64.2184,5.789,0.17,0
167,O,-0.68,65.63,4.76,9.35,0
168,BORN,-17.89,81.4,0.22,18.64,0
169,AAWW,-25.17,35.14,2.56,4.07,0
170,UTSI,-34.93,19.5,-1.73,2.46,0
171,KCG,-0.39,55.18,9.25,6.07,0
172,HD,-0.35,49.98,5.05,2.35,0
173,XLNX,-0.78,31.89,8.27,5.15,0
174,CMTL,-55.41,16.28,-5.1,0.8,0
175,GSBC,-25.95,13.69,3.71,5.0,0
176,HW,-8.59,48.32,7.82,5.95,0
177,BFR,-20.67,60.75,-2.38,2.44,0
178,BMS,-5.81,31.17,-0.68,5.69,0
179,ISP,-2.53,16.08,-0.37,0.0,0
180,ARWR,-36.32,94.14,5.0,24.71,0
181,KNOP,-1.45,103.62,6.85,3.42,0
182,CFNB,-3.64,13.95,1.19,6.4,0
183,NDP,-11.38,93.94,1.43,0.0,0
184,AFL,-2.51,40.6,1.15,3.31,0
185,HTGC,-0.15,34.21,5.94,2.66,0
186,ISR,-54.1607,40.0182,-7.3445,15.42,0
187,IMNP,-77.14,100.0,-6.91,0.25,0
188,MU,-29.43,47.58,6.2,1.98,0
189,TAYD,-1.13,58.03,6.67,2.38,0
190,JYNT,-75.89,23.78,-5.93,2.3,0
191,GARS,-31.59,12.38,1.83,0.0,0
192,SCSS,-10.7,67.09,7.22,10.11,0
193,OMAB,-0.78,47.6,5.74,1.27,0
194,GRAM,-0.49,273.85,12.6,7.99,0
195,EVY,-1.09,18.18,3.86,0.0,0
196,KTCC,-32.13,23.81,0.27,2.56,0
197,SPCB,-72.4,9.46,-9.32,5.75,0
198,NPK,-6.97,23.85,-2.55,14.66,0
199,SVA,-17.6,34.7,0.02,1.45,0
200,SGMA,-25.641,17.1673,0.1376,1.34,0
201,BNCN,-7.72,24.73,4.7,5.78,0
202,OGE,-2.4,37.66,1.34,4.77,0
203,WTM,-3.48,19.23,-0.28,1.08,0
204,CGNT,-40.59,42.25,-4.43,3.79,0
205,INFN,-65.29,6.83,-24.18,4.47,0
206,KURA,-83.5676,64.324,21.6051,0.48,0
207,FMO,-33.24,76.87,3.6,0.0,0
208,FLT,-7.85,41.02,3.74,2.55,0
209,MORN,-5.43,13.11,3.13,1.0,0
210,CYHHZ,-6.6667,0.0,inf,0.0,0
211,HMSY,-1.05,145.13,8.61,5.01,0
212,COWNL,-0.2019,0.2907,inf,0.0,0
213,OGCP,0.0,40.89,6.25,0.0,0
214,GASS,-36.88,48.95,-4.37,1.91,0
215,SEV,-21.43,35.97,2.9,1.43,0
216,INVE,-63.89,40.29,-0.77,4.89,0
217,ECA,-12.78,168.33,1.6,1.66,0
218,TEI,0.0,24.86,3.71,0.0,0
219,NTCT,-32.32,49.07,17.23,9.21,0
220,FXCM,-61.16,82.89,9.9,6.02,0
221,NTIC,-20.0,50.0,20.12,0.33,0
222,SLRC,0.0,34.55,4.96,0.0,0
223,ETFC,-19.04,27.89,2.65,1.26,0
224,CFRX,-58.62,14.45,-13.1,8.92,0
225,MCC,-16.88,38.59,4.86,0.0,0
226,ADP,-7.34,38.36,-2.97,2.15,0
227,GEO,-9.02,35.62,1.93,3.06,0
228,CETV,-21.96,25.54,4.32,28.83,0
229,SMRT,-25.09,53.3,9.15,6.09,0
230,DVD,-16.0,8.81,-1.67,1.17,0
231,BTE,-48.23,333.33,-14.94,3.74,0
232,AEL,-46.69,25.93,4.15,12.6,0
233,THST,-58.0,845.0,13.19,5.94,0
234,BAM,-2.98,34.42,1.59,4.16,0
235,RVT,-4.29,35.03,5.5,0.0,0
236,RJD,-3.61,4.64,0.34,0.0,0
237,VCYT,-58.75,17.58,-2.29,17.14,0
238,PF,-0.16,31.03,8.42,2.84,0
239,AAAP,-21.1,73.83,3.79,1.79,0
240,TSRA,-19.55,22.62,2.34,8.06,0
241,PNNT,-7.53,58.49,5.95,0.0,0
242,FSC,-17.28,27.27,8.7,0.0,0
243,ELMD,-14.42,187.1,8.04,2.49,0
244,IMPV,-39.58,51.46,7.24,3.0,0
245,ARTW,-38.34,15.04,-5.16,0.37,0
246,TCS,-69.73,46.68,2.2,9.41,0
247,MRCC,-1.41,57.29,5.26,0.0,0
248,AFMD,-84.99,11.97,-7.63,3.11,0
249,TLP,-5.63,99.21,0.25,1.27,0
250,DLPH,-23.7,22.0,2.76,1.94,0
251,AMDA,-91.302,12.838,-21.858,1.25,0
252,MSM,-8.32,32.55,-0.11,5.81,0
253,CHSCP,-1.7,15.56,-0.03,0.49,0
254,FFA,-6.49,30.48,2.17,0.0,0
255,BTX,-30.82,54.46,14.11,17.51,0
256,ECACU,-17.39,3.1,-2.83,0.0,0
257,TRU,-8.58,60.16,-2.82,2.2,0
258,PMTS,-65.04,39.64,-1.09,19.97,0
259,QTM,-50.41,74.29,32.53,4.1,0
260,WETF,-62.1,14.25,-5.47,9.98,0
261,MSK,-4.68,1.75,-1.77,0.0,0
262,RPAI,-0.34,34.58,4.8,0.65,0
263,PRFT,-1.38,49.13,5.27,4.17,0
264,TRST,-1.63,28.24,3.09,6.34,0
265,DOV,-2.92,40.31,1.44,2.8,0
266,MVC,-18.63,19.53,-0.15,0.0,0
267,YRD,-1.38,665.37,50.08,2.32,0
268,CPHC,-2.77,17.2,0.64,1.63,0
269,CDE,-1.1,845.68,32.43,2.4,0
270,NHTC,-39.42,111.26,14.12,21.41,0
271,FLKS,-30.2,82.87,5.28,5.45,0
272,EXA,-4.95,61.86,5.37,3.05,0
273,CHL,-6.14,23.88,6.8,0.94,0
274,DISCB,-22.42,8.26,-0.19,0.69,0
275,CYBR,-12.3,79.02,11.26,2.98,0
276,CHRW,-8.52,16.6,-3.73,5.9,0
277,NLS,-11.92,36.32,1.81,3.07,0
278,NUE,-6.03,58.23,3.39,3.72,0
279,NEE,-2.8,36.86,0.84,4.27,0
280,CLLS,-41.79,46.5,-0.54,10.17,0
281,PML,-1.14,18.97,0.54,0.0,0
282,BKCC,-18.04,42.18,5.55,0.0,0
283,CPK,-5.08,41.59,0.97,4.22,0
284,GNL,-6.03,51.3,6.22,3.34,0
285,LPTH,-51.45,41.54,5.71,11.42,0
286,GGZ,-0.3703,18.4402,2.2129,0.0,0
287,MANU,-20.72,17.67,-3.2,8.1,0
288,CGG,-84.76,26.32,0.1,0.2,0
289,FINL,-25.2,41.38,8.31,3.07,0
290,RPM,-1.72,47.53,6.59,4.75,0
291,PAA,-33.11,87.99,0.57,2.95,0
292,TEAR,-71.62,48.28,18.55,2.92,0
293,DLHC,-12.24,165.61,0.18,0.49,0
294,CXH,-1.5912,12.5123,0.16,0.0,0
295,TSN,-0.53,88.48,10.08,3.88,0
296,VTRB,-2.99,14.69,0.48,0.0,0
297,NRO,0.0,45.39,5.82,0.0,0
298,VDSI,-21.73,35.3,0.51,8.83,0
299,CS,-61.06,15.48,0.62,1.23,0
300,BFAM,-4.99,15.26,0.79,3.96,0
301,KFFB,-20.35,3.25,-1.09,1.34,0
302,SJM,-0.52,47.8,2.83,3.84,0
303,FRP,-14.2,27.58,6.51,9.33,0
304,SPXX,-1.76,24.64,2.41,0.0,0
305,OCC,-41.33,4.76,-3.07,3.79,0
306,ACET,-20.16,33.91,9.27,13.86,0
307,D,-1.2,20.89,2.12,5.17,0
308,NIE,-0.87,23.75,3.62,0.0,0
309,BPOPM,-5.04,28.02,-0.95,0.0,0
310,FWRD,-8.3,28.56,2.23,3.66,0
311,ANFI,-49.54,183.27,-3.09,21.12,0
312,NJR,-4.32,38.49,-0.57,8.15,0
313,LANC,-1.59,43.51,2.96,5.97,0
314,ERN,-46.44,128.57,4.77,24.13,0
315,CYH,-75.45,20.15,-0.78,5.81,0
316,HBCP,-1.46,35.93,4.97,2.89,0
317,LMCA,-23.44,28.1,15.69,3.1,0
318,MBWM,-4.15,30.67,3.32,7.93,0
319,DXCM,-10.71,92.47,15.76,4.44,0
320,NNN,-0.82,58.12,5.52,5.8,0
321,NSM,-35.66,52.35,8.82,15.69,0
322,GF,-12.3,16.22,4.88,0.0,0
323,SGMO,-36.13,36.72,7.98,11.35,0
324,FBNK,-12.5,11.65,-2.41,6.58,0
325,BIP,-2.2,54.3,3.66,4.01,0
326,HRZN,0.0,52.83,9.23,0.0,0
327,SENEB,-8.62,28.16,6.92,1.24,0
328,EPAY,-33.15,3.28,-4.4,5.06,0
329,KEP,-0.55,44.09,4.84,0.53,0
330,TI,-40.13,22.16,6.04,0.54,0
331,ORRF,-3.06,28.08,4.63,3.4,0
332,BKN,-4.21,19.9,-0.89,0.0,0
333,STXS,-52.17,124.07,4.7,2.4,0
334,ETSY,-53.17,66.56,3.71,3.18,0
335,NAVB,-78.396,14.9149,-3.9945,19.56,0
336,RPTP,-60.39,100.34,4.6,12.16,0
337,GLDD,-28.04,50.0,-3.01,15.88,0
338,BUFF,-10.83,69.06,3.56,6.04,0
339,ONS,-0.61,0.0,inf,0.66,0
340,OI,-21.87,62.26,3.08,3.15,0
341,PBIP,-11.91,3.71,-0.55,6.45,0
342,CMLS,-76.8242,112.4444,11.9065,1.76,0
343,POR,-3.41,31.02,0.39,3.56,0
344,CAPN,-76.73,17.21,-16.59,8.32,0
345,BEP,-0.51,52.46,3.85,6.68,0
346,HNR,-64.63,93.33,-4.25,4.9,0
347,BHAC,-5.8998,4.144,0.3385,0.96,0
348,STRP,-63.52,139.37,-34.63,15.15,0
349,USAK,-17.89,66.49,1.11,8.07,0
350,ATNI,-12.27,6.37,-6.05,3.08,0
351,SASR,-4.17,24.13,1.88,9.6,0
352,TRIB,-30.84,39.46,13.53,34.23,0
353,CHU,-29.53,6.88,2.12,1.53,0
354,SREV,-24.67,34.93,8.8,10.81,0
355,TREE,-27.66,93.78,12.82,5.24,0
356,TOF,-46.4364,31.9105,9.6785,3.4,0
357,FNHC,-35.76,16.39,1.97,2.89,0
358,KALU,-13.75,18.12,-6.15,4.19,0
359,UCBI,-13.45,22.24,2.69,1.19,0
360,PEP,-1.82,42.42,2.51,1.81,0
361,NVO,-5.59,23.39,5.35,1.94,0
362,SAL,-14.04,7.3,-0.06,0.74,0
363,EOI,-2.8,48.31,1.36,0.0,0
364,AFC,-0.42,6.34,0.44,0.0,0
365,ACU,-2.39,66.49,12.69,0.24,0
366,SUM,-20.62,68.75,6.18,3.75,0
367,DSXN,-7.1852,64.6258,8.0305,0.0,0
368,PSA,-13.93,21.52,-4.03,2.98,0
369,ABDC,-7.91,37.88,0.25,0.0,0
370,RVLT,-51.02,21.51,-1.61,14.11,0
371,BELFA,-20.18,79.57,8.16,0.92,0
372,MATX,-29.73,22.36,9.5,3.87,0
373,IRS,-4.0,128.43,8.42,6.0,0
374,STRZB,-24.31,11.84,-13.44,1.58,0
375,GLPI,-0.28,48.0,3.02,4.26,0
376,ZAIS,-76.28,128.79,15.72,0.15,0
377,NGHCN,-0.42,0.51,inf,0.0,0
378,AUMA,-0.5,13.71,0.21,0.01,0
379,ADBE,-2.68,37.31,1.42,1.4,0
380,ALCO,-35.44,40.92,-1.35,10.19,0
381,BWINB,-2.32,24.54,5.56,2.94,0
382,MBFIP,-2.714,4.577,-1.039,0.0,0
383,SYMC,-12.13,26.58,0.74,2.4,0
384,WIT,-13.3,6.48,-4.96,31.87,0
385,ATOS,-79.5691,79.5,-12.3954,3.5,0
386,CYAD,-58.02,6.93,-21.85,1.8,0
387,GATX,-16.19,33.4,-0.96,15.84,0
388,VCF,-5.72,15.35,-0.82,0.0,0
389,DENN,-12.81,28.13,1.41,6.83,0
390,TKAI,-91.14,24.75,-75.45,39.38,0
391,PVTBP,-8.57,7.18,-0.85,0.0,0
392,SGM,-78.46,11.71,0.41,6.03,0
393,GNE,-57.11,4.22,-5.74,8.92,0
394,MRCY,-1.71,87.15,4.49,2.85,0
395,NSPR,-94.1065,7.4706,-33.3907,2.02,0
396,RNST,-13.57,9.26,-1.68,8.89,0
397,DEA,-1.59,34.36,4.72,9.45,0
398,MCI,-2.11,17.01,1.24,0.0,0
399,COKE,-35.54,18.87,0.15,3.74,0
400,ED,-2.2,32.8,1.15,4.97,0
401,LAD,-31.82,25.6,12.13,7.86,0
402,FOF,-0.83,28.13,2.99,0.0,0
403,SVU,-47.92,23.86,0.22,4.85,0
404,AMSC,-26.56,181.6,5.21,12.07,0
405,AUMAU,-1.19,2.89,0.29,0.0,0
406,STRL,-12.61,57.72,9.68,2.11,0
407,WSO,-0.66,35.15,3.79,4.67,0
408,WHLRW,-58.4746,568.1818,41.7354,0.0,0
409,EBAY,-1.98,44.8,21.04,1.42,0
410,EFT,-1.07,20.24,1.94,0.0,0
411,FUND,-0.6382,47.3369,5.4854,0.0,0
412,ACLS,-23.57,49.44,0.93,6.28,0
413,HASI,-2.13,45.47,4.1,4.82,0
414,YPF,-26.36,45.78,-4.24,0.45,0
415,ORC,-0.8,56.52,5.84,5.63,0
416,LOGM,-0.57,145.46,32.42,7.74,0
417,PLKI,-9.08,16.64,2.49,11.36,0
418,CJJD,-21.84,45.71,13.37,0.88,0
419,RMCF,-18.57,14.09,5.44,0.49,0
420,UE,-1.25,51.44,3.18,12.15,0
421,LAZ,-37.75,36.36,11.23,1.24,0
422,SNN,-12.02,10.12,-1.62,2.99,0
423,PFNX,-63.71,39.5,-0.83,5.67,0
424,SQI,-0.365,86.986,0.381,0.9,0
425,IDE,-12.06,20.04,1.4,0.0,0
426,CTBI,-6.38,12.59,-0.64,6.57,0
427,HNSN,-55.67,211.72,0.24,0.0,0
428,PME,-29.38,25.0,6.92,4.25,0
429,AMNB,-5.16,20.02,0.25,13.78,0
430,BOKF,-13.23,47.81,4.69,13.55,0
431,AKP,-0.89,18.31,0.91,0.0,0
432,CTS,-5.63,48.48,4.19,8.4,0
433,ACRX,-38.27,51.25,24.35,8.86,0
434,DSPG,-1.63,37.26,4.17,5.46,0
